166.1256166579988,644.2195180914655,1.6783363323452976,-1.914187083108621,0.4765989558848999,0.25351955860157854,0.5319347754987618;106.55840467555778,534.5251957513321,1.416927060777407,1.172079498780842,0.6546927626170207,0.5347399024053889,0.5347399024053889
240.07522690815014,1192.3894327777314,0.6239452324675306,2.1786052074482467,0.5901373262875881,0.4144792531290834,0.7023437336805531;202.3021508239594,1201.6082213733391,0.8469387202758619,-0.82937081755655,0.5189131294545788,0.38704147224518415,0.38704147224518415
314.0455773912445,479.1537849386145,1.3863969097817717,2.6167665575379915,0.4118885277779834,0.19714286419350938,0.478631597867114;95.62002509934538,440.89564570315275,1.9303503828326718,-0.300243187607214,0.8755674977753738,0.7599776664980021,0.7599776664980021
112.12701504347751,456.48997031417895,1.7226370547611711,1.6650918525242249,0.5566538565387481,0.43803329009153863,0.7869042582678085;59.42103404847887,455.5221632507139,1.8950499926738351,-1.5238837081363028,0.6574306271378535,0.525018333615389,0.525018333615389
111.5990039416116,416.45044257299094,1.738608165985845,0.13790030307921305,0.43842367640562885,0.35853293548125376,0.8177773117105558;70.9984568990029,437.34426704595086,2.184909295285098,-2.9146169044829584,0.7390084078151726,0.8139590209352189,0.8139590209352189
287.0329440325622,556.4838555969077,1.7144149018797452,-2.2900486065555454,0.30682396855610217,0.22703260573999456,0.7399441667103074;124.01511218395947,503.4789300953914,1.641133912282016,0.7446608978412181,0.8815211175557554,0.7872504969637557,0.7872504969637557
224.55227420580704,619.4690252789077,1.011757523051857,0.4270635610488829,0.652612959285005,0.3841689424031777,0.5886627547575345;55.68859508014294,630.2334913173053,1.9240686131965963,-2.870028411952351,0.45044653262605616,0.2974819282951042,0.2974819282951042
269.8781322615822,531.5250898499525,0.4810444996565182,-2.360805449928618,0.4444547538805049,0.15704866120333066,0.353351291289269;135.78608433857943,711.4952250718202,2.312207544392853,0.7246476003913007,0.2832714288872676,0.24393225884901945,0.24393225884901945
94.61737222278357,416.7736326516521,2.108352138970055,-1.569053929218487,0.6882512786635157,0.4717543059121587,0.6854390548002137;67.30717425497744,415.2977676243999,1.866188616279746,1.6376876372778049,0.9018214536397907,0.6691409817583627,0.6691409817583627
163.86564460252103,552.130781878714,1.3149520062025233,0.28913062381995247,0.681349233062461,0.4466961580997259,0.6556052849607834;100.64616284289266,543.3968548906039,2.0283634825210455,-2.8706416659280967,0.8975798417814239,0.7687547612071491,0.7687547612071491
170.9768914619756,496.5497588218123,1.5347266514538054,-0.553288731511849,0.5643905767382483,0.48099206902370484,0.8522326361355571;82.26132842958467,500.8146501900678,1.8988138230817704,2.496480169512405,0.7381524083941244,0.4119569774444114,0.4119569774444114
122.4259027289584,477.94489466987716,1.9229392312375053,-0.3036543568807216,0.615776243834019,0.5610837943044459,0.9111812934044996;114.67836930738048,556.0628607891377,1.3234215520048764,2.7074822061934936,0.6870571924286515,0.7054431306813509,0.7054431306813509
147.78237533616675,478.80197309534975,1.8336342689175849,-0.7951571786925675,0.3717980125735145,0.31713810586088015,0.8529849411128128;30.883499850238277,480.2856818988049,1.6453512488596813,2.49088202319983,0.9027790885696848,0.8041173546751229,0.8041173546751229
121.78304532634927,439.8352498050151,2.2866813858404718,-3.0190696625054048,0.14568714848681943,0.11525758503271225,0.791130763624904;112.81643491601763,463.72513454937933,1.1661117734028572,0.14955201073763713,0.6641672016442474,0.5741653105607063,0.5741653105607063
224.18625448050997,669.2894647325625,1.4085833822970963,-1.4151520359301666,0.2541402343559545,0.20414646434549896,0.8032827421555252;45.45002383937879,626.1582909560489,1.685026271541055,2.2268195166997753,0.9792997988381705,0.7348500878848665,0.7348500878848665
258.6057557112761,548.5177392874364,1.3177613879647636,-2.7141765084069642,0.4006008511011944,0.20280355367676342,0.5062484343687375;139.46482678438983,587.945405365158,1.9010887401824845,0.9364067342659018,0.5280708456016163,0.32085827837255243,0.32085827837255243
153.13000173836122,451.5969314196123,1.9599811132749347,3.052205788965321,0.5442371649109782,0.4874534007765249,0.8956635676585198;129.14981280280782,651.6630671236479,1.3262630713378472,-0.3647245706042293,0.7659202189622025,0.7660504408603168,0.7660504408603168
264.8288497407339,943.4055737830894,1.2004123114181346,1.1966420581758237,0.7191435611417998,0.6213335824015513,0.863991024844951;186.26006833457365,884.4142159327835,1.120598796019989,-2.097114074472308,0.5645032434069698,0.6471791202245889,0.6471791202245889
219.72082574485094,839.9543094918914,1.6396838080851206,2.6696939437252136,0.7539878921827704,0.6978918090723212,0.925600817079366;181.5480454728168,825.4636571218626,0.6771426295349313,-0.5471146262720258,0.9260071422406352,0.7234566502675642,0.7234566502675642
227.238717926237,1246.056874023012,0.07219468376406135,-0.1887343132590235,0.6296935556884284,0.6202356370115204,0.9849801247107126;144.85904911671898,1325.4788826642996,1.3212374171785224,2.9922748191062807,0.8337244861674136,0.7274567406848184,0.7274567406848184
289.04950757785446,580.7777180376327,1.3982212033452428,0.6288281874472813,0.2725336986058695,0.22029540256428914,0.8083235346351576;108.6494254379674,577.6154769844728,1.527941769152518,-2.424800069285851,0.1843544707637948,0.1715313630984031,0.1715313630984031
152.4000191428722,457.43366225634287,2.156128845253792,3.037653952562002,0.6103906299064247,0.47774079423894156,0.7826804194425153;108.52020478694229,558.7275440794019,1.1095238910119405,0.4342785825523171,0.7779946418214124,0.6097551993665934,0.6097551993665934
241.45315692197647,720.2940934176886,1.8311822023501816,-1.6929138887806539,0.3088977275887965,0.26229382805329177,0.8491283833672494;139.79508693083616,702.996318474713,0.8016735256653543,1.8797313668042843,0.500919994229929,0.4511977567292415,0.4511977567292415
224.83741445388884,612.1944115733907,1.3862579445837004,-1.6749323000622531,0.3207191459408728,0.21381237290786798,0.6666654473671055;147.3577629558747,766.4710233900822,1.4050566902558663,1.498557530589827,0.5391320789581682,0.5202272829821384,0.5202272829821384
92.68432287609473,470.5177559805793,1.6735029087830986,0.971726437626625,0.289215357704258,0.2545790080239399,0.8802402819986618;46.08089312285426,422.2533468061562,2.1283643296590804,-2.2785438383427823,0.672654819157623,0.545087594117632,0.545087594117632
66.20095929063356,474.99798514204247,1.803861549205205,2.8368214222431853,0.5259153617620769,0.4653309535036435,0.8848019801980198;65.37620220692062,474.25298595264525,1.7435558547685968,-0.269527062422105,1.273687860362534,0.6602073972397079,0.6602073972397079
